frameIndex;frameTime;nCandidates;F0Cand[0];F0Cand[1];F0Cand[2];candVoicing[0];candVoicing[1];candVoicing[2];candScores[0];candScores[1];candScores[2];pcm_LOGenergy
1344;13.440000;2;1.123659e+02;9.667106e+01;0;9.065090e-01;8.478988e-01;0;5.716080e-03;3.513460e-03;0;-1.316959e+01
1345;13.450000;3;1.657650e+02;1.283531e+02;5.897015e+01;8.737491e-01;6.674070e-01;6.526811e-01;4.175699e-03;1.585078e-03;1.517873e-03;-1.297990e+01
1346;13.460000;3;1.134473e+02;1.016068e+02;9.411942e+01;8.838233e-01;8.806634e-01;8.176422e-01;3.369719e-03;3.280491e-03;2.146782e-03;-1.318874e+01
1347;13.470000;3;5.846391e+02;2.324434e+02;1.691579e+02;8.952512e-01;8.824958e-01;8.591722e-01;2.079756e-03;1.853994e-03;1.546938e-03;-1.410964e+01
1348;13.480000;1;1.053224e+02;0;0;9.199167e-01;0;0;3.665287e-03;0;0;-1.383257e+01
1349;13.490000;2;3.481151e+02;8.629821e+01;0;7.863061e-01;7.023734e-01;0;3.116184e-03;2.237400e-03;0;-1.360921e+01
1350;13.500000;2;1.702406e+02;5.206900e+01;0;7.507778e-01;7.154123e-01;0;3.254862e-03;2.850382e-03;0;-1.286076e+01
1351;13.510000;1;1.176644e+02;0;0;9.186246e-01;0;0;4.073898e-03;0;0;-1.305441e+01
1352;13.520000;2;1.065589e+02;8.715556e+01;0;8.954917e-01;5.287399e-01;0;6.669596e-03;1.479072e-03;0;-1.274146e+01
1353;13.530000;1;5.218254e+01;0;0;7.387510e-01;0;0;4.819481e-03;0;0;-1.245949e+01
1354;13.540000;3;1.572839e+02;1.402483e+02;9.707500e+01;9.098781e-01;8.643629e-01;4.530220e-01;3.476072e-03;2.309619e-03;5.727286e-04;-1.339673e+01
1355;13.550000;2;3.621915e+02;9.247274e+01;0;8.846530e-01;8.609171e-01;0;4.086907e-03;3.389436e-03;0;-1.324525e+01
1356;13.560000;1;9.687134e+01;0;0;7.739548e-01;0;0;2.622321e-03;0;0;-1.351136e+01
1357;13.570000;3;1.823362e+02;1.571928e+02;7.093999e+01;8.543243e-01;7.264438e-01;6.828396e-01;2.545760e-03;1.355682e-03;1.169298e-03;-1.379824e+01
1358;13.580000;2;1.451243e+02;9.886670e+01;0;9.268334e-01;7.799404e-01;0;2.935388e-03;9.759740e-04;0;-1.376654e+01
1359;13.590000;2;1.023046e+02;8.676667e+01;0;9.238060e-01;6.565400e-01;0;4.221913e-03;9.365989e-04;0;-1.368790e+01
1360;13.600000;0;0;0;0;0;0;0;0;0;0;-1.267979e+01
1361;13.610000;2;1.107597e+02;5.248160e+01;0;8.620601e-01;7.331634e-01;0;2.697151e-03;1.394279e-03;0;-1.352757e+01
1362;13.620000;2;1.304423e+02;1.192717e+02;0;9.284564e-01;9.050157e-01;0;4.994075e-03;3.761610e-03;0;-1.315953e+01
1363;13.630000;0;0;0;0;0;0;0;0;0;0;-1.286124e+01
1364;13.640000;2;1.495008e+02;6.014134e+01;0;9.366103e-01;5.471126e-01;0;9.966005e-03;1.394919e-03;0;-1.227559e+01
1365;13.650000;2;1.522478e+02;9.312386e+01;0;8.662949e-01;7.904905e-01;0;1.285641e-02;8.204723e-03;0;-1.124913e+01
1366;13.660000;3;1.448201e+02;8.835709e+01;5.930354e+01;8.614004e-01;8.564755e-01;6.905381e-01;6.714497e-03;6.484092e-03;3.007241e-03;-1.191947e+01
1367;13.670000;1;1.159114e+02;0;0;9.244837e-01;0;0;7.459462e-03;0;0;-1.222673e+01
1368;13.680000;3;1.501360e+02;1.294776e+02;8.581268e+01;9.195762e-01;8.973342e-01;6.230707e-01;5.020627e-03;3.932933e-03;1.071230e-03;-1.302663e+01
1369;13.690000;3;9.996267e+01;9.429132e+01;8.694221e+01;7.937488e-01;7.387955e-01;7.292356e-01;4.177352e-03;3.298504e-03;3.182044e-03;-1.294000e+01
